First Name,Middle Name,Last Name,Maiden Name,Full Name at Birth,Alternative Name,Birthday,Birthplace,Height,Weight,Zodiac Sign,Sexuality,Religion,Ethnicity,Nationality,Occupation
,,Fillion,,Jennifer Mary Schwalbach,Maxine,"27th September, 1891","Sivakasi, Tamil Nadu, India",,,,,,,,
,,Sgarbi,,Thaís Vaz Pena,"Holly Brook, Holly Brook Hafermann, Skylar Grey","8th March, 1991","Knoxville, Tennessee",,,,,,,,
,,Ware,,Mario Sorrenti,"J-Rod, Moose, Jare","23rd June, 1923",Ethiopia,,,,,,,,
,,Bigelow,,Rosemary Millicent Sutherland-Leveson-Gower,"Deborah McGuire, Debora McGuire","27th November, 1943","Queens, New York",,,,,,,,
,,Wyler,,Kyle Christopher Jacobs,Topper,"12th February, 1981","Columbia, South Carolina",,,,,,,,
,,Mandel,,Siddhant Chaturvedi,Skinny Fat,"21st September, 1982","Williamsburg , Brooklyn, New York",,,,,,,,
,,Esposito,,Lulu Basler,"Missy Lou, Lucky","16th February, 1990","Kunming, Yunnan, China",,,,,,,,
,,Sweeney,,Mariana Tosca,"Kat, Kat Caveda, Kat Stickler",15th February,"Franca, Sao Paulo, Brazil",,,,,,,,
,,Ritte,,Sophie Turner,"Sara Ali Khan Pataudi, Sara Ali Khan, Sara","1st January, 1911","Preston, Lancashire, England",,,,,,,,
,,Sheets,,Garrett Gonzalez Morris,"Mac, Macaulay Macaulay Culkin Culkin","22nd June, 1959","Goiania, Brazil",,,,,,,,
,,Zeliaeva,,Rina Faccio,"Robert Thiele, Bob Thiele","1st August, 1992","Albany, Georgia US",,,,,,,,
,,Cadan,,Rodrigo António de Lucena Cardoso de Menezes,`Dot`,"30th November, 1988","Fargo, North Dakota",,,,,,,,
,,Geldof,,Andrew Jay Abrams,Louise Lasser,"7th March, 1972","Portsmouth, New Hampshire, U.S.",,,,,,,,
,,Heftler,,Shaherah Johnson,"Dianna Cohen, Diana Cohen","12th August, 1980","Winston-Salem, NC",,,,,,,,
,,Buonfiglio,,Bob Kelly Abreu,Hunter,"10th July, 1954","Palermo, Argentina",,,,,,,,
,,Zwhick,,Nathalia Goyannes Dill Orrico,Marie Blanchard,"20th March, 1992","Enfield, Middlesex",,,,,,,,
,,Vishal,,Pamela Bowen,"Genevieve Yatco Gonzales, Yatco Gonzales, Genevieve Gonzales","19th February, 1965","Westchester County, New York, USA",,,,,,,,
,,Wilcox,,Kent Wallace,Lisa Clark,"14th October, 1989","Encino, CA",,,,,,,,
,,Sexton,,Richard Cowell,Leda Eglevsky,"9th September, 1948","Sunrise Township, Minnesota, United States",,,,,,,,
,,Shattuck,,José María Jaramillo,"Kelly McDowell, Kelley Kuhr","7th September, 1976","Brighton, UK",,,,,,,,
,,Jaggi,,Sarah Kate Silverman,"Michael Ealy, Michael Brown","29th August, 1952","Nyack, New York,USA",,,,,,,,
,,Miesner,,Yuki Terada,"Ogie Alcasid, Ogie D' Pogi","15th March, 1963","Appleton, Wisconsin",,,,,,,,
,,Grenier,,Ni Ni,"The Duke, Duke LaRüe","17th January, 1988","Lake Como, Lombardy, Italy",,,,,,,,
,,Hartnett,,Ouida DuGaze,Kate Chambers,"29th October, 1971","Bucaramanga, Santander, Colombia",,,,,,,,
,,Gürman,,Johnny Devenanzio,Patricia Salazar,"20th August, 1902",Puerto Rico,,,,,,,,
,,Vincze,,Catherine Jane McCormack,"Solo, Solange Piaget Knowles, Solange Knowles, Solange","6th November, 1961","Madrid, Madrid, Spain",,,,,,,,
,,Garratt,,Anna Maria Alberghetti,Kennedy,"7th January, 1976","Boulogne, Argentina",,,,,,,,
,,Sorum,,Jonathan Mortimer,Princess,"9th June, 1978","Nashua, New Hampshire, United States",,,,,,,,
,,Rosenman,,Alejandra Genevieve Oaziaza,Bianca Paz,"13th September, 1969","Boise City, Oklahoma, USA",,,,,,,,
,,Medders,,Leslie Howard Steiner,"Вера Брежнева, Вера Викторовна Брежнева","5th September, 1980","Oranjestad, Aruba",,,,,,,,
,,Lopez Padilla,,Virginia Elizabeth Gardner,"Tana, Tana Marie Mongeau, Tana Mongeau","5th January, 1988","Perth,",,,,,,,,
,,Demick,,Maurice Barthélémy,"Alex, Alexander Johan Hjalmar Skarsgård, Alexander Skarsgård, Askars","9th December, 1989","Largs, Scotland, UK",,,,,,,,
,,Busai,,Joel Dee McCrea,Leah LaBelle,"24th October, 1986","Mogi das Cruzes, Brazil",,,,,,,,
,,Rodin,,Débora Picoito,"Ariane Bourgoin, Louise Bourgoin, Ariane Louise Bourgoin","29th February, 1976","Castellón de la Plana, Spain",,,,,,,,
,,Asenjo,,León Peraza Napolitano,Jessie J,"12th February, 1974","Grand Rapids, Michigan USA",,,,,,,,
,,Özen,,Daigo Yamamoto,"Clarissa Kaye, Clarissa Knipe, Clarissa Kaye-Mason","18th August, 1896",Birmingham Alabama,,,,,,,,
,,Sidwell,,Camille Fishel,"Lindy Massey, Lindy Wilton","14th August, 1981","Trinidad, West Indies",,,,,,,,
,,Khong,,Nafisa Rizvi Khan,"Stephanie Pickard, Stephanie West, Stephanie Roberta Pickard, Stephanie R. Pickard, Stephanie Roberta West, Stephanie R. West","13th October, 1909","Prishtina,Kosovo",,,,,,,,
,,Rothschild,,Yulia Vlasova,Erica Villongco,"15th November, 1968","Mission District, San Francisco, California, USA",,,,,,,,
,,Fitzmaurice,,Fardeen Firoz Khan,"Teresa, Teresa López, Teresa Ruiz, Teresa Ruiz López, Maria Teresa Ruiz, Maria Teresa Ruiz Lopez","30th September, 1943","London, Ontario, Canada",,,,,,,,
,,Barnes,,Jordan Terrell Carter,"Zoe Irene Graham, Zoe Graham","27th December, 1984","Austin, Texas, USA",,,,,,,,
,,Savary,,Divorced First Husband,Chaz Shepard,"2nd March, 1982","Valera, Trujillo, Venezuela",,,,,,,,
,,Gruosi,,Álvaro Henríquez Pettinelli,Aomi Sessions,"3rd February, 1937","Columbus, Georgia, United States",,,,,,,,
,,Harkness,,Linda Denise Blair,"Jj, Justy","8th August, 1992","Sudbury, Ontario, Canada",,,,,,,,
,,Jámbrik,,Primo Nunzio Jasis Reggiani,"Kimberley Jane Scott, Kimberley Jane Walsh, Kimberley Walsh, Kimberley Scott","21st April, 1968","Puerto Cabello, Carabobo, Venezuela",,,,,,,,
,,Lapin,,Miguel Alejandro Alonso Reyes,"Caylee Cowan, Caylee, Catherine Caylee Cowan, Catherine Cowan","25th June, 1943",Oxford,,,,,,,,
,,Fox,,Cherry Pie Sison Picache,"Amy Bingaman, Amy Bingo Bingaman, Bingo","8th March, 1922","Palermo, BA, Argentina",,,,,,,,
,,Erskine,,Patrick Whitesell,"Barbie, Barbie Concina Imperial, Barbara Concina Imperial, Barbie Imperial","8th August, 1871","Milgrom, Bekenstein",,,,,,,,
,,Mauzy,,Lakeith Lee Stanfield,"Brittney Foster, Brittney Jade","4th March, 1970","Andover, Kansas",,,,,,,,
,,Grollmus,,Victoria Pattison,Maks,"25th September, 1969","Blackpool, Lancashire, England",,,,,,,,
,,Oaziaza,,Kathleen Tamar Young,"MH, Batman, Roger, M Houston, Marques Jones, Marques Barrett Houston, Marques Houston","31st January, 1983","Ilford, London, England, UK",,,,,,,,
,,Bagans,,Roxana Shirazi,"Stevie, Stevie G, Captain Fantastic","26th June, 1927","Cleveland, OH, USA",,,,,,,,
,,Schenck,,Rubens Gonçalves Barrichello,"Bodor Bettina, Bettina Bodor, Bodor Bettyna, Bettyna Bodor, Bodor Betty, Betty Bodor, Bodor Betti, Betti Bodor","28th June, 1973","Davenport, Iowa",,,,,,,,
,,Vella,,Nicole Marie Mire,"Brittany Stryker, Brittney Striker, Bryttani Stryker, Brittany Strycker, Britany Striker, Brittany Striker, Brittney Stryker, Judy Jones","7th December, 1961","Montpellier, Hérault, Languedoc-Roussillon, France",,,,,,,,
,,Summers,,David Blaine White,"Barbara Densmore Harris, Barbara Harris","12th February, 1980","St John's Wood, London, United Kingdom",,,,,,,,
,,Mortorff,,Anett Mészáros,"Zimány Linda, Linda Zimany","23rd February, 1965","Thousand Oaks, California, USA",,,,,,,,
,,Novoa,,Stephen Kuclo,"Bridget Kerkove, Bridgett Kerkove","19th May, 1992","Crystal City, Missouri",,,,,,,,
,,Sozanskaya,,Amaya Salamanca Urizar,"Lis, Lissie","22nd April, 1953","Paoli, Indiana, USA",,,,,,,,
,,Casano,,Marc Campbell,"Meganne Young, Megan Young, Meganne","27th August, 1902","Carpinteria, California",,,,,,,,
,,Jarvis,,Teyana Me Shay Jacqueli Taylor,"Magic, Jill Arlyn Oppenheim, Jill St. John, Jill Saint John, Jill Oppenheim","22nd May, 1990","Winter Park, FL",,,,,,,,
,,Padgett,,Mary Louise Thomas,Nina Agdal,"3rd April, 1961","Montevideo, Uruguay",,,,,,,,
,,Cherri,,Marjorie Goodspeed,Justin Wright,"15th June, 1995","County Limerick, Ireland",,,,,,,,
,,Guerty,,Anthony Joseph Pereira,"Hal Brett Needham, Hal Needham","25th December, 1971","Crossville, Tennessee, USA",,,,,,,,
,,Thomson,,Kelly Cole,"Bill Skarsgård, Bill Istvan Günther Skarsgård","28th October, 1985","Tbilisi, Georgia",,,,,,,,
,,Marjai,,Michael G. Rubin,"Red Carpet, Jennifer Williams, Jennifer Guyton","10th June, 1954","Cannock, Staffordshire, England",,,,,,,,
,,Brock,,Carla Scott Carter,"Lacy Heart, Lacie Hart, Laci Heart, Lacey Heart, Laciie Hart, Brittany Rosenthal","21st August, 1972","Fullerton, California",,,,,,,,
,,Roberti,,Daisy Fuentes,"Jennifer Fehr, Jennifer Rowley","14th May, 1901","Providence, Rhode Island, United States",,,,,,,,
,,Quiseng,,Urban James Shocker,Dick ALFORD,"19th January, 1991","South Bronx, New York City",,,,,,,,
,,Kelly,,Bria Myles,"Kaila Wilkey, Winter Blanco","22nd June, 1977","Peckham, London UK",,,,,,,,
,,Bouchier,,Lucky Blue Smith,"Gozde Sinem Ozturk, Sinem Uslu, Sinem Ozturk Uslu, Sinem Öztürk","14th January, 1970","Kalisz, Poland",,,,,,,,
,,Bikic,,Jack Weiss,"Jill Kellie, Calista Jammer, Jill Kelley, Adrian, Jill Kennedy, Seth Damian, Calista J., Calista Jay, Jill Roberts, Seth Damien",NA,"Springfield, Illinois, USA",,,,,,,,
,,Fiorentino,,Chord  Paul Overstreet,Disha,"2nd November, 1906","Takapuna, Auckland Region, New Zealand",,,,,,,,
,,Rossel,,Jason King,"Craig Young, Shred Lee","21st August, 1930","Belfast, Ireland",,,,,,,,
,,Shelton,,Edgar Montillion Woolley,"Columbus Keith Short Jr., Columbus Keith Short, Columbus Short","17th October, 1990","Callao, Perú",,,,,,,,
,,Lerma,,Vanessa Lee Evigan,Angie Stone,"15th November, 1891","Gloucestershire, England",,,,,,,,
,,Dryden,,Radamés,Bunni,"30th January, 1939","Campos dos Goitacazes, Brazil",,,,,,,,
,,Bettany,,David Michael Benjamin Smet,Patty Nee,"21st September, 1957","Videla, Santa Fe, Argentina",,,,,,,,
,,Arcaro,,Alexis René Glabach,"Bud, Mr. Mumbles (Given to him by Frank Sinatra), Brando","17th August, 1992","Sinaloa, México",,,,,,,,
,,Caborn-Waterfield,,Ingrid H. Goude,Oguzhan Koc,"29th December, 1992","Ciudad Obregon, Sonora, Mexico",,,,,,,,
,,Entrudo,,Alicia Aylies,Abhimanyu Dassani,"14th June, 1987","Sugar Land, TX",,,,,,,,
,,Kuwajima,,Dorothiea Ivonniea Hundley,"Draghixa Laurent, Draghixia, Draguitsa, Drajica Laurent, Draxica, Jelena, Marissa, Estelle, Draghixa Javanovic, Monica Dombrowski, Serena Licrestia, Tradjica, Draghissa, Dragica, Dragixa, Droghixa, Dragitza Jovanovic, Draghicia Labelle, Serena Licresti, Maeva","4th February, 1960","Grootfontein, Namibia",,,,,,,,
,,Romero,,Mayte Michelle Rodriguez,Miss March 2005,"29th December, 1968","Modesto, California",,,,,,,,
,,Timuss,,"Walter Aikens, Jr.","Julie Armstrong, Julie Lynn Champnella, Julie Arnold, Julie Champnella","9th March, 1989","Katy, Texas, USA",,,,,,,,
,,D'Arbanville,,Travis Landon Barker,"Missy Elliott, Missy ""Misdemeanor"" Elliott, Missy","13th April, 1951","Highgate,London, England,United Kingdom",,,,,,,,
,,Ruscha,,Howard Green Duff,Sheryl,"9th April, 1980","Hahnemann University Hospital, Philadelphia, Pennsylvania, USA",,,,,,,,
,,Diva,,Patrick Archibald Shaw,"Compton MacKenzie, Sir Compton MacKenzie, Sir Compton","20th August, 1948","Loures, Portugal",,,,,,,,
,,Rosenstein,,Hilda Matheson,"Inger Lise Hanson, Lise, Lisa","7th November, 1988","Cardiff, Wales, UK",,,,,,,,
,,Koboldt,,Rose Marie Bowe,"The Old Spice guy, Isaiah Mustafa","16th January, 1949",Dublin,,,,,,,,
,,Polizzi,,Jerome Minskoff,"Georgia Harrison, Georgia Louise Harrison, George Harrison, Georgia","4th February, 1973","Petersburg, Virginia, USA",,,,,,,,
,,Balivo,,Louise Currie,"Dora Goldberg, Nora Bayes Friedland","4th November, 1974","Lavelanet, France",,,,,,,,
,,Morse,,Paul Thomas Mann,Maheep,"15th January, 1897","Atlanta, Georgia, USA",,,,,,,,
,,Caniggia,,Miriam Goldberg,Françoise Schluter,"19th September, 1974","Sun Prairie, Wisconsin",,,,,,,,
,,Fatehi,,Marc Christian MacGinnis,Allison,"4th June, 1973","Alkmaar, Netherlands",,,,,,,,
,,Fudemberg,,Jack Leon Gordon,"Marie Bernadette Gulmatico, Marie Lan Matiko","29th April, 1968","Florida, United States",,,,,,,,
,,Sperle,,Mary Endicott Peabody Tree,Trickey,"17th April, 1978","Guayaquil, Ecuador",,,,,,,,
,,Shen,,Margaret Eleanor Whiting,"Élodie Frégé, Élodie Wanda Frégé","10th April, 1910","Stamford,CT",,,,,,,,
,,Cuccurullo,,Harlene Susan Rosen,"Frankie, The Satz, Frankie The Satz, Frankie Sandford, Frankie The Sats","26th February, 1953",Hong Kong,,,,,,,,
,,LaMour,,Sharmila Mandre,"The Gates of Swing, ""Gates"", ""Hamp"", ""Mad Lionel""","15th February, 1982","Walkinstown, Republic of Ireland",,,,,,,,
,,Keach,,Bojana Novaković,"Amber Evangeline Valletta, Amber Valletta","1st September, 1904","Buckinghamshire, England",,,,,,,,
,,Mitsikidès,,Jayden,"Steveo, The Crocodile Hunter","20th February, 1917","Larnaka, Cyprus",,,,,,,,
,,McDowell,,Elaine Irwin Blome,"The Little Sparrow, The French Billie Holiday, La Môme Piaf, Édith Lamboukas, Édith Pills, (The Little Sparrow), Édith Giovanna Gassion, Édith Piaf","10th May, 1977","Lianjiang, China",,,,,,,,
,,Olcay,,"Arthur Loew, Jr","Sa bri bri, Bribri, Bri, Reba Sabrina Hinojos, Sabrina Bryan","27th June, 1981","Sao Vicente, Sao Paulo, Brazil",,,,,,,,
,,Martinelli,,Nastassja Isabella Bolívar Cifuentes,"Rachel Roxxx, Rachel Lyn, Rachel Lynn, Rachel Lyn Cooper","27th April, 1993","Berkeley, CA, USA",,,,,,,,
,,Sharky,,Frederick Scott Harteis,Devoleena,"21st June, 1977","Eagle, Colorado, United States",,,,,,,,
,,Sood,,Justine Schofield,"Wendy 4, Wendy Combattente, Chicago Party Girl, Wendy Fiore, Chicago Wendy, Wendy Orlando, Wendy Anne Fiore, Wendy Ann Fiore, Wendy Anne Combattente","12th January, 1908","Huntington, New York, USA",,,,,,,,
,,Deal,,John Davis Jackson,Peggy,"15th November, 1945","Asbury Park, New Jersey, USA",,,,,,,,
,,Betha,,Ruth Mae Cosgrove Rosenthal,Ginevra,"15th August, 1931","Livingston, NJ, USA",,,,,,,,
,,Rain,,Andrea LA Thoma,Mattie,"24th December, 1892","Bronx, New York City, New York, United States",,,,,,,,
,,Burns,,Holly Michelle Gilliam,"Jenna Talia, Alana, Allana Evans, Dawn Marie Thompson","10th October, 1985","Cairo, New York",,,,,,,,
,,Eder,,Sabrina Claudio,Faith,"13th September, 1902",Toowoomba,,,,,,,,
,,Eckelberry,,Sacha Noam Baron Cohen,"Phoebe Harriet Dynevor, Phoebe Dynevor, Phoebe","1st May, 1939","Bratislava, Czechoslovakia",,,,,,,,
,,Sedrakyan,,Jarod Scott Einsohn,Daniel Miranda,"28th May, 1994","Botucatu, Brazil",,,,,,,,
,,Gorlick,,Kevin-Prince Boateng,"Scott Foster, Scott M. Foster","28th February, 1986","Chester, Windsor County, Vermont, United States",,,,,,,,
,,Lucas Jr.,,Ian Connor,"Sunny, Tammy Lynn Sytch, Tammy Sytch, Tammy Spirit, Tammy Lynn Fytch, Tamara Murphy","19th February, 1997","Silver Spring, Maryland, USA",,,,,,,,
,,Sinha,,Rasual Butler,Rita Gam,"8th September, 1988","Shreveport, Caddo Parish, Louisiana",,,,,,,,
,,Mayor,,Davina Sheffield,"Hillary Scott, Hillary Scoot","4th November, 1921","Issy-les-Moulineaux, Hauts-de-Seine, Île-de-France",,,,,,,,
,,Moyano,,Donald Malcolm Campbell,Vivi Rodrigues,"25th March, 1966","State College, Pennsylvania",,,,,,,,
,,Caldwell,,Laura Zraick,"Jodelle-ee, Jodelle Micah Ferland, Jodelle Ferland","28th December, 1997","Durham, North Carolina",,,,,,,,
,,Jasmine,,Robert Wallace Foster,"Ashleigh Murray, Ashleigh Monique Murray, Ashleigh","27th September, 1938","Westbury, New York",,,,,,,,
,,Batik,,Marco Tardelli,Gordon Gilbertson,"26th August, 1973","Pittsburgh, PA",,,,,,,,
,,Khan IV,,Vanessa Nimmo,"Bianca Peters, Bianca Castillo Peters, Mexican Martha Stewart","2nd June, 1988","Chungju, North Chungcheong Province, South Korea",,,,,,,,
,,Yeager,,Zazie Olivia Beetz,"Missy, Melissa Brennan Reeves, Melissa Brennan, Melissa Reeves","25th November, 1983","Beacon, New York, USA",,,,,,,,
,,Boseman,,Kieran Edward Richardson,"Сергій Сергійович Бубка, Sergei Sergeevich Bubka, Sergei Bubka, Сергій Бубка","17th December, 1889","Newark, New Jersey",,,,,,,,
,,O'Connor,,Ann Kathryn Turkel,"Etno Engjujt, Ethnon","20th May, 1996","Hagåtña, Guam",,,,,,,,
,,Royer,,Bruno Garfinkel,Baby Boy da Prince,"10th April, 1990","Velzeke, Flanders, Belgium",,,,,,,,
,,Toli,,Sasha Clifford,Julie,"5th September, 1986","New Jersey, U.S.",,,,,,,,
,,Morner,,Lilyan Tashman,Jillian Dempsey,"9th May, 1946","Bareilly, Uttar Pradesh, India",,,,,,,,
,,Costa,,Emilio Osorio Marcos,Magdalena Lamparska,"11th April, 1964","Vienna-Penzing, Austria-Hungary",,,,,,,,
,,Tardelli,,Sweety Shetty,"Jenny, Jenni, Ganga, Kumud, Maya, Zoya","23rd March, 1947","The Woodlands, Montgomery, Texas, USA",,,,,,,,
,,Sekirin,,Madisson Hausburg,"James Tobin, Jt, Jessie","2nd June, 1925","Mumbai, Maharashtra, India",,,,,,,,
,,Ozar,,Robert Bernard Andrew Gillespie,Helen Wood,"24th November, 1897","Geldern, North Rhine-Westphalia, Germany",,,,,,,,
,,Troubetzkoy,,Mario Fortino Alfonso Moreno Reyes,"Daróczi Dávid, Dávid Daróczi","16th July, 1992","West Yorkshire, England",,,,,,,,
,,Cipriani,,Drew Sidora Jordan,Pinar Deniz,"29th October, 1983","Long Island, New York, United States",,,,,,,,
,,Kadiu,,Charles Everett Chambers,"Celestia Fox, Celestia Sporborg","9th March, 1907","Clovis, California",,,,,,,,
,,Webb,,David Byrne,La,"11th August, 1950","Panorama City, Los Angeles, California, USA",,,,,,,,
,,Muggs,,Irina Lazareanu,"Claude Henri Jean Chabrol, Claude Chabrol, The Balzac of Cinema, The French Hitchcock, Hélène Thomas, Charles Thomas, Paul Thomas","8th February, 1953","Santafe de Bogota, Colombia",,,,,,,,
,,Dorelli,,Carrie Frances Fisher,"Vahbiz Dorabjee, Panchi Dobriyal, Birdy, Vahbiz, Vahbbiz Dorabjee, Vahbbiz","24th October, 1901","Green Bay, Wisconsin",,,,,,,,
,,Fisher,,Claudia Helena Swarowsky,Cindra Ladd,"3rd February, 1932","Rio de Janeiro City, Rio de Janeiro, Brazil",,,,,,,,
,,Henrie,,Mary Lydia Thornton,"José Paige, Don Alvarado, Done Page, Joseph Don Page","28th July, 1920","São Paulo, São Paulo, Brazil",,,,,,,,
,,Sippel,,Kenneth Charles Branagh,"Peter Loughran, Peter Paul Loughran","25th May, 1968",Mumbai,,,,,,,,
,,Blondell,,Jessica Louise Impiazzi,Danny Wisker,"20th March, 1964","New Delhi, Delhi, India",,,,,,,,
,,Meric,,Derek Theler,Kris,"1st March, 1933","Ruislip, Middlesex, England",,,,,,,,
,,Toten,,Martha MacVicar,"Arielle St. Cyr Vandenberg, Arielle Vandenberg","11th August, 1923","St. Marylebone, London, England, UK",,,,,,,,
,,Swarowsky,,Kevin Michael Costner,"Lauren Greco, Lauren Michael Holly, Lauren Holly, Lauren","24th August, 1863","Moscow, RSFSR, USSR",,,,,,,,
,,Broyles,,Frank Anthony Grillo,Jeru,"25th January, 1988","Burgas, Bulgaria",,,,,,,,
,,Roxburgh,,Jaime Murray,"Charlie King, Charlie","18th July, 1965","Brampton, Ontario",,,,,,,,
,,Chhillar,,Zareen Khan,Valerie Clay,"17th November, 1954","Goiânia, Goiás, Brasil",,,,,,,,
,,Liddell,,Angela Maxine O`Brien,"Beatrice Melba Hill, Melba Moore, Beatrice Hill, Beatrice Smith, Beatrice Melba Smith","6th April, 1929","Charleston, SC, USA",,,,,,,,
,,Swede,,Mary Ann Mobley,"Humongous The God, HXTXG","8th January, 1962","Palm Beach County, Florida, USA",,,,,,,,
,,Lovibond,,Ian Stuart Bohen,"Jean-Paul Adam Mokiejewski, Jean-Pierre Mocky","24th July, 1991","Wahroonga, New South Wales, Australia",,,,,,,,
,,Renavent,,Guraish Aldjufrie,"Felicia Farr, Olive Dines","4th June, 1932","Soverato, Province of Catanzaro, Calabria, Italy",,,,,,,,
,,North,,Leslie Arthur Julien Hutchinson,Dorothy Squires,"28th April, 1971","Monchengladbach, Germany",,,,,,,,
,,Imperial,,Amanda Moore,"Althea Flynt, Althea Leasure Flynt","22nd December, 1922","Nunoa, Santiago, RM",,,,,,,,
,,McKenna,,Katherine L'Heureux,"Estefania Argelich, Steffy Argelich","9th October, 1974","Leigh-on-Sea, Essex, England, United Kingdom",,,,,,,,
,,Props,,Alexandra Ruth Shipp,"Danny Partridge, Bonadouche","18th March, 1993","Albany, New York",,,,,,,,
,,Ehrich,,Naya Marie Rivera,"Amelia Gray Hamlin, Amelia Hamlin, Amelia","10th June, 1985","Newquay, Cornwall.",,,,,,,,
,,Downing,,Marjorie Schuyler Ficher,Zélia Cardoso de Melo,"4th June, 1970","Inglewood, Los Angeles County, California, USA",,,,,,,,
,,Romestrand,,David Michael Burtka,"Benja, Nano, Benja Rojas","14th December, 1999","Bay Ridge, Brooklyn, New York City, New York, USA",,,,,,,,
,,Li,,Albert Paul Jorden,"Jhake Vargas, Prince of Mall Shows","2nd February, 1923","Nasville, Tenesse",,,,,,,,
,,Fogarty,,Diamond Nicole Strawberry,Barbara Stanger,"19th February, 1966","Ryde, Isle of Wight, England",,,,,,,,
,,Redmayne,,Banita Sandhu,"Priscilla Quintana, Priscilla Ann Quintana, Priscilla","29th April, 1957","Togliatti, Russian SFSR",,,,,,,,
,,Robeson,,Rosario Isabel Dawson,Cassandra Delaney Denver,"26th December, 1921","Salgótarján, Hungary",,,,,,,,
,,Venice,,Georgia Isobel Groome,Komal,"6th February, 1922","Gaffney, South Carolina, USA",,,,,,,,
,,Matsumura,,Saraí Meza Hernandez,"Bobby ""Boris"" Pickett","24th August, 1979",Genoa,,,,,,,,
,,Gaspar Morell,,Natane Adcock Boudreau,Janet Von Schmeling,"1st March, 1934","Orlando, Florida, USA",,,,,,,,
,,Newson,,Kenan Rashad Smith,"Cameron Eubanks, The Real World`s Cameran, Cammie/Cam, Cam, Killa Cam","9th May, 1994","Casa Grande, Arizona, USA",,,,,,,,
,,Hader,,Colleen Crowley,"Leonard Norman Cohen, Leonard Cohen","6th June, 1931","Monticello, Indiana, USA",,,,,,,,
,,McCaffrey,,Regina Belle,Lady Nunn,"2nd December, 1968","Asheville, North Carolina",,,,,,,,
,,Sá,,Janine James,The Queen of the Scene,"12th January, 1993","Key Biscayne, Florida",,,,,,,,
,,Pace,,Alexis Kerry Ohanian,Caterina Murino,"3rd March, 1974","Minneapolis, Minnesota USA",,,,,,,,
,,Fragoso,,Luciano Grostein Huck,Natalia Rodríguez,"9th June, 1989","Saltburn-by-the-Sea, North Riding of Yorkshire, England, UK",,,,,,,,
,,Laws,,Annette Maria Szymanski,"Dana Dalla Porta Tupper, Dayna Dalla Porta","19th February, 1971","Pella, Iowa, USA",,,,,,,,
,,Hibbert,,Susan Carol Oliver,"Naty Henao, Natalia Ashba","2nd April, 1899","Ahmedabad, Gujarat, India",,,,,,,,
,,Monjack,,Jacob Edwin Kennedy,Little Miss Cleavage,"24th August, 1965","Evanston, Illinois, USA",,,,,,,,
,,Alam,,Allan Stewart Konigsberg,The G Force,"18th November, 1981","Belem, Para, Brazil",,,,,,,,
,,Rendón,,Melissa Chessington Leo,"India Westbrooks, India Love, India Westbrook, India Love Westbrooks","18th March, 1969","Belfort, Territoire de Belfort, France",,,,,,,,
,,Milne,,Brian Patrick Stelter,Bud Pennell,"12th April, 1975","Powder Springs, Georgia",,,,,,,,
,,Corzine,,Debbie Ashley,"Camille Hanks Cosby, Camille Cosby","11th February, 1956","Munich, Bavaria, Germany",,,,,,,,
,,Jayde,,Ferne Alice McCann,AnnaSophia Robb,"20th March, 1957","Somerset, Massachusetts, USA",,,,,,,,
,,Forster,,Jessica Joffe,"Dobrády Ákos, Ákos Dobrády","16th November, 1967","Sandford, Florida, United States",,,,,,,,
,,Oswald,,Gianmatteo Vittorio Fernan Guidicelli,"Pondarosa, Omarosa Manigault-Stallworth, Omarosa Manigault, Omaroseonee O. Manigault, Omaroseonee Onee Manigault, Omarosa Manigault Newman","15th February, 1942","Joinville, Santa Catarina, Brazil",,,,,,,,
,,Kardashian,,Jasmine Danielle Tookes,Geppy Gleijeses,"2nd December, 1978","Kutahya, Turkey",,,,,,,,
,,Bachardy,,Sergei Platonovich Obolensky,"London Shay Goheen, London, London Goheen","19th January, 1894","Houston, Tx",,,,,,,,
,,NA,,Phyllis Stein,"Patty, Patricia Helen Heaton, Patricia Heaton","28th January, 1981","Fort McMurray, Alberta",,,,,,,,
,,Zendejas,,Martin Davis Eichelberger Jr.,"K, Karylle","25th June, 1937","Farmington Hills, Michigan, USA",,,,,,,,
,,Bonner,,Lucas Akoskin,"The Most Beautiful Woman in Films, Hedwig Kiesler, Hedy Kiesler, Hedi Lamarr, Hedy Kieslerova, Hedy Lamar, Hedwig Eva Maria lolas, Hedy Mandl, Hedy Boies, Hedy Loder, Hedy Stauffer, Hedwig Mandl, Hedy Kiesler Markey, Hedy Lee, Hedwig Eva Maria Kiesler, Hollywood's Loveliest Legendary Lady, Queen of Glamour","11th June, 1996","Birkenhead, UK",,,,,,,,
,,Balzaretti,,David Sutton,Robin Olds,"31st December, 1917","Bicester, Oxfordshire, England",,,,,,,,
,,Kinnaman,,Deanna P. Lund,"Jessica Serfaty, Jessica Ann Michel, Jessica Michel, Jessica Ann Serfaty, Jessica Michel Serfaty","11th June, 1987","Northampton, Northamptonshire, England, UK",,,,,,,,
,,Daly,,John Nicholas Foran,Ebru Ozkan,"21st February, 1963","Cypress, CA, USA",,,,,,,,
,,Wyatt,,Leslie Ann Woodward,"Fotki Vanessy Villeli, Vanessa Villela, Vannessa, Vannesa Villela, Vannessa Villela, Vanessa Quiñones Romo, Vanessa Quiñones Romo Villela","28th July, 1983","Benoni, South Africa",,,,,,,,
